,Date,Open,High,Low,Close,Adj Close,Volume
TSLA,5/26/2023,116.040001,121.5,116.019997,120.110001,120.110001,96779900
TSLA,5/30/2023,122.370003,122.919998,119.860001,121.660004,121.660004,64314800
TSLA,5/31/2023,121.449997,122.040001,119.169998,120.580002,120.580002,72800800
TSLA,6/1/2023,120.690002,123.489998,119.93,122.769997,122.769997,54375100
TSLA,6/2/2023,124.919998,126.389999,124.019997,124.25,124.25,61215000
TSLA,6/5/2023,123.360001,125.800003,123.029999,125.300003,125.300003,47950100
TSLA,6/6/2023,125.07,127.400002,125,126.610001,126.610001,45695200
TSLA,6/7/2023,127.010002,127.370003,120.629997,121.230003,121.230003,95663300
TSLA,6/8/2023,123.010002,125.629997,122.260002,124.25,124.25,62159300
TSLA,6/9/2023,124.080002,125.800003,123.190002,123.43,123.43,51330000
TSLA,6/12/2023,124.019997,126.779999,123.529999,126.57,126.57,51338000
TSLA,6/13/2023,128.119995,128.410004,125.18,126.660004,126.660004,50564800
TSLA,6/14/2023,126.699997,126.949997,124.120003,126.419998,126.419998,52422500
TSLA,6/15/2023,125.209999,127.690002,124.32,127.110001,127.110001,60458500
TSLA,6/16/2023,127.709999,127.900002,125.300003,125.489998,125.489998,84188100
TSLA,6/20/2023,124.970001,127.25,124.5,125.779999,125.779999,56930100
TSLA,6/21/2023,125.639999,126.730003,123.849998,124.830002,124.830002,52137700
TSLA,6/22/2023,125.309998,130.330002,125.139999,130.149994,130.149994,90354600
TSLA,6/23/2023,129.110001,130.839996,128.279999,129.330002,129.330002,71855200
TSLA,6/26/2023,129.330002,131.490005,127.099998,127.330002,127.330002,59989300
TSLA,6/27/2023,128.630005,130.089996,127.550003,129.179993,129.179993,46801000
TSLA,6/28/2023,128.940002,131.479996,128.440002,129.039993,129.039993,52149500
TSLA,6/29/2023,128.770004,129.259995,127.260002,127.900002,127.900002,40761000
TSLA,6/30/2023,129.470001,131.25,128.949997,130.360001,130.360001,54310500
TSLA,7/3/2023,130.820007,131.850006,130.070007,130.220001,130.220001,28264800
TSLA,7/5/2023,130.240005,131.399994,129.639999,130.380005,130.380005,35895400
TSLA,7/6/2023,128.25,128.729996,127.370003,128.360001,128.360001,40639900
